,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
5653,1958.04.05,Unprovoked,Unknown,,,Unspecified,05-Apr-1958,Apr,Y,M,,1991.5833443275412,25.0
5654,1958.04.03,Unprovoked,Unknown,,,Unspecified,03-Apr-1958,Apr,Y,F,,1991.5833443275412,25.0
5655,1958.04.00,Unprovoked,Unknown,,,Unspecified,Apr-1958,,N,M,,1991.5833443275412,25.0
5656,1958.02.19,Unprovoked,Unknown,,,Unspecified,19-Feb-1958,Feb,Unknown,M,,1991.5833443275412,25.0
5657,1958.02.01,Unprovoked,Unknown,,,Unspecified,01-Feb-1958,Feb,N,F,,1991.5833443275412,25.0
5658,1958.01.27,Unprovoked,Unknown,,,Unspecified,27-Jan-1958,Jan,N,M,,1991.5833443275412,25.0
5659,1958.01.19,Unprovoked,Unknown,,,Unspecified,19-Jan-1958,Jan,N,F,,1991.5833443275412,25.0
5660,1958.01.09.R,Unprovoked,Unknown,,,Unspecified,Reported 09-Jan-1958,Jan,Unknown,M,,1991.5833443275412,25.0
5661,1958.01.09,Unprovoked,Unknown,,,Unspecified,09-Jan-1958,Jan,Y,F,,1991.5833443275412,25.0
5662,1958.00.00.j,Unprovoked,Unknown,,,Unspecified,1958-1959,,N,M,,1991.5833443275412,25.0
5663,1958.00.00.i,Unprovoked,Unknown,,,Unspecified,1958,,N,M,,1991.5833443275412,25.0
5664,1958.00.00.h,Unprovoked,Unknown,,,Unspecified,1958,,N,F,,1991.5833443275412,25.0
5665,1958.00.00.f,Unprovoked,Unknown,,,Unspecified,1958,,Y,M,,1991.5833443275412,25.0
5666,1958.00.00.e,Unprovoked,Unknown,,,Unspecified,1958,,Y,M,,1991.5833443275412,25.0
5667,1958.00.00.d,Unprovoked,Unknown,,,Unspecified,1958,,Y,F,,1991.5833443275412,25.0
5668,1958.00.00.c,Unprovoked,Unknown,,,Unspecified,1958,,N,F,,1991.5833443275412,25.0
5669,1958.00.00.b,Unprovoked,Unknown,,,Unspecified,1958,,N,F,,1991.5833443275412,25.0
5670,1958.00.00.a,Unprovoked,Unknown,,,Unspecified,Circa 1958,,Y,M,,1991.5833443275412,25.0
5671,1957.12.31,Unprovoked,Unknown,,,Unspecified,31-Dec-1957,Dec,N,M,,1991.5833443275412,25.0
5672,1957.12.30,Unprovoked,Unknown,,,Unspecified,30-Dec-1957,Dec,N,M,,1991.5833443275412,25.0
5673,1957.12.26,Unprovoked,Unknown,,,Unspecified,26-Dec-1957,Dec,N,F,,1991.5833443275412,25.0
5674,1957.12.23,Unprovoked,Unknown,,,Unspecified,23-Dec-1957,Dec,Y,M,,1991.5833443275412,25.0
